All,Kaikki
None,"Poista valinnat"
"Allowed Scopes","Sallitut kauppanäkymät"
"More permissions are needed to delete the ""%1"" item.","Lisää käyttöoikeuksia tarvitaan kohteen ”%1” poistamiseen."
"You need more permissions to apply some of the rule updates.","Joidenkin sääntöpäivitysten lisääminen vaatii enemmän käyttöoikeuksia."
"More permissions are needed to save this item.","Lisää käyttöoikeuksia tarvitaan tämän kohteen tallentamiseen."
"More permissions are needed to delete this item.","Lisää käyttöoikeuksia tarvitaan tämän kohteen poistamiseen."
"You need more permissions to access website ""%1"".","Lisää käyttöoikeuksia tarvitaan pääsemiseksi sivustolle ""%1""."
"Role Scopes","Roolien toimintaoikeudet"
Custom,Mukautettu
"Read Details",Lisätietoja
"Mark as Read","Merkitse luetuksi"
"Are you sure?","Oletko varma?"
Remove,Poista
"Messages Inbox",Saapuneet-kansio
"You have %1 new system messages","Sinulla on %1 uutta järjestelmäviesti(ä)"
"You have %1 new system message","Sinulla on %1 uusi järjestelmäviesti"
"Incoming Message","Saapuva viesti"
close,sulje
Notifications,Ilmoitukset
"The message has been marked as Read.","Viesti on merkitty luetuksi."
"We couldn't mark the notification as Read because of an error.","Ilmoitusta ei voitu merkitä luetuksi virheen vuoksi."
"Please select messages.","Valitse viestit."
"A total of %1 record(s) have been marked as Read.","Yhteensä %1 tietue(tta) on merkitty luetuksi."
"Total of %1 record(s) have been removed.","Yhteensä %1 tietue(tta) on poistettu."
"We couldn't remove the messages because of an error.","Viestejä ei voitu poistaa virheen vuoksi."
"The message has been removed.","Viesti on poistettu."
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Voit katsella ja ratkaista kaikki viimeisimmät järjestelmän ilmoitukset. Päivitä web-sivun Poista ilmoitus-ilmoitus."
"1 Hour","1 tunti"
"2 Hours","2 tuntia"
"6 Hours","6 tuntia"
"12 Hours","12 tuntia"
"24 Hours","24 tuntia"
critical,kriittinen
major,merkittävä
minor,vähäinen
notice,ilmoitus
"Wrong message type","Väärä viestityyppi"
"Wrong notification ID specified.","Väärä ilmoitustunnus määritetty."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} ei ole suositeltavaa käyttää tuotantoympäristössä Base Unsecure URL / Base Secure URL-esittämiseksi. Suosittelemme voimakkaasti tämän arvon vaihtamista Magenton <a href=""%1"">kokoonpanossa</a>."
"One or more of the Cache Types are invalidated: %1. ","Yksi tai useampi välimuistityyppi vaatii virkistämisen: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Ole hyvä ja siirry <a href=""%1"">Välimuistin hallintaan</a> ja tyhjennä välimuistityypit."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Yhtä tai useampaa media-tiedostoa ei voida synkronoida. Katso lisätietoja lokitiedostosta."
"Synchronization of media storages has been completed.","Mediasäilöjen synkronointi on suoritettu."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Web-palvelin on määritetty väärin ja mahdollistaa luvattoman pääsyn arkaluontoisiin tiedostoihin. Ota yhteyttä palveluntarjoajaasi."
"System Messages:",Järjestelmäviestit:
"Critical System Messages","Kriittiset järjestelmäviestit"
"Major System Messages","Merkittävät järjestelmäviestit"
"System messages",Järjestelmäviestit
Close,Sulje
"See All (","Katso kaikki ("
" unread)"," lukematta)"
"System Messages",Järjestelmäviestit
"Show Toolbar","Näytä työkalupalkki"
"Show List","Näytä lista"
"Use HTTPS to Get Feed","Käytä HTTPS-yhteyttä syötteen haussa"
"Update Frequency",Päivitystiheys
"Last Update","Muokattu viimeksi"
Severity,Vakavuus
"Date Added",Lisäyspäivämäärä
Message,Viesti
Actions,Toiminnot
"Manage Shopping Cart","Hallitse ostoskoria"
"Create Order","Luo tilaus"
Back,Takaisin
"Add Products","Lisää tuotteita"
"Update Items and Quantities","Päivitä nimikkeet ja määrät"
"Are you sure you want to clear your cart?","Oletko varma, että haluat tyhjentää ostoskorisi?"
"Clear my shopping cart","Tyhjennä Ostoskori"
"Add selections to my cart","Lisää valinnat ostoskoriin"
Cancel,Peruuta
"Shopping Cart for %1 in %2","Asiakkaan %1 ostoskori kaupassa %2"
"Select products you want to buy","Valitse tuotteet, jotka haluat ostaa"
Product,Tuote
Price,Hinta
Quantity,Määrä
"Products in the Comparison List (%1)","Tuotteet vertailulistalla (%1)"
"Last ordered items (%1)","Viimeksi tilatut tuotteet (%1)"
Products,Tuotteet
ID,Tunnus
SKU,Tuotenro
"Recently Compared Products (%1)","Äskettäin vertaillut tuotteet (%1)"
"Recently Viewed Products (%1)","Äskettäin tarkastellut tuotteet (%1)"
"Add to Shopping Cart by SKU","Lisää ostoskoriin tuotenumeroittain"
"Add to Shopping Cart","Lisää ostoskoriin"
"Wish List (%1)","Toivelista (%1)"
Apply,Käytä
Configure,Määritä
"Add to Order by SKU","Lisää tilaukseen tuotenumeroittain"
"Add to Order","Lisää tilaukseen"
"Add Products to Order","Lisää tuotteet tilaukselle"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> tuote(tta) vaatii huomiota.</span>"
"Remove All","Poista kaikki"
"Only %1%2%3 left in stock","Vain %1%2%3 jäljellä varastossa"
"You can buy up to %1 of these per purchase.","Voit ostaa näitä enintään %1 kpl per ostotapahtuma."
"You must buy at least %1 of these per purchase.","Sinun täytyy ostaa vähintään %1 näitä per ostotapahtuma."
"Specify the product's options.","Määritä tuotteen vaihtoehdot."
"Alert me when this item is available.","Ilmoita, kun tämä tuote on saatavilla."
"Shopping cart management is disabled for this customer.","Ostoskorin hallinta ei ole käytössä tälle asiakkaalle."
Customers,Asiakkaat
"Shopping Cart",Ostoskori
"An error occurred. For details, see the error log.","Tapahtui virhe. Lisätietoja saat virhelokista."
"You do not have access to this.","Sinulla ei ole pääsyä tähän."
"An error has occurred. See error log for details.","Tapahtui virhe. Katso lisätietoja virhelokista."
"You cannot configure a product.","Et voi määrittää tuotetta."
"You removed the items.","Tuotteet poistettiin."
"You removed the item.","Tuote poistettiin."
"You added %1 to your shopping cart.","Lisäsit %1 ostoskoriisi."
"You cannot add a product.","Et voi lisätä tuotetta."
"Order by SKU","Järjestä tuotenumeron mukaan"
"The SKU was not found in the catalog.","SKU:ta ei löytynyt luettelosta."
"Availability: Out of stock.","Saatavuus: ei varastossa."
"We don't have as many of these as you want.","Meillä ei ole niin montaa kuin haluat."
"You can't add this many to your cart.","Näin montaa ei voida lisätä ostoskoriin."
"You need to choose options for your item.","Sinun täytyy valita vaihtoehdot tuotteellesi."
"We can't add the item to your cart.","Tätä tuotetta ei voida lisätä ostoskoriisi."
"Please enter an actual number in the ""Qty"" field.","Kirjoita määrä numeroina ""Kpl""-kenttään."
"This product is assigned to another website.","Tämä tuote on määritetty toiselle sivustolle."
"You can add only enabled products.","Voit lisätä vain käytössä olevia tuotteita."
"You cannot upload this file.","Tätä tiedostoa ei voi lähettää."
"The file is empty.","Tiedosto on tyhjä."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Et ole syöttänyt tuotenumeroa. Ole hyvä ja <a href=""%1""> klikkaa tästä</a> lisätäksesi tuottee(t/n) tuotenumeron perusteella."
"You have not entered a product SKU.","Et ole syöttänyt tuotenumeroa."
"We can't add a product to cart by id ""%1"".","Tuotetta ei voida lisätä ostoskoriin tunnuksella ""%1""."
"Something went wrong while reordering this product.","Uudelleentilauksessa tapahtui virhe."
"We can't find this wish list.","Tätä toivelistaa ei löydy."
"You added %1 product to your shopping cart.","%1 tuote lisättiin ostoskoriin."
"You added %1 products to your shopping cart.","%1 tuotetta lisättiin ostoskoriin."
"%1 product requires your attention.","%1 tuote vaatii huomiotasi."
"%1 products require your attention.","%1 tuotetta vaativat huomiotasi."
"Yes, for Specified Customer Groups","Kyllä, määrätyille asiakasryhmille"
"Yes, for Everyone","Kyllä, kaikille"
No,Ei
"Please upload the file in .csv format.","Lähetä tiedosto .csv-muodossa."
"%1 item(s) need your attention.","%1 kohde(tta) kaipaa(vat) huomiotasi."
"Apply Coupon Code","Käytä alennuskoodi"
"Remove Coupon Code","Poista alennuskoodi"
"The coupon code ""%1"" is not valid.","Alennuskoodi ""%1"" ei ole kelvollinen."
"Shopping Cart Items","Ostoskorin tuotteet"
Qty,Määrä
Subtotal,Välisumma
Discount,Alennus
"Row Subtotal","Rivin välisumma"
Action,Toiminto
"No ordered items","Ei tilattuja tuotteita"
"Total %1 product(s)","Yhteensä %1 tuote(tta)"
Subtotal:,Välisumma:
"Please select",Valitse
"Move to Wish List","Siirrä toivelistaan"
"No item specified.","Kohdetta ei ole määritelty."
"Are you sure you want to remove this item?","Haluatko varmasti poistaa tämän nimikkeen?"
"SKU number",Tuotenumero
"Upload File","Lähetä tiedosto"
"Your csv file must include ""sku"" and ""qty"" columns.","Csv-tiedostossa tulee olla ""sku"" ja ""kpl"" -sarakkeet."
Reset,Tyhjennä
"SKU: ","Tuotenro: "
"Only <span id=""%1_max_allowed"">%2</span> in stock","Vain <span id=""%1_max_allowed"">%2</span> varastossa"
Item,Tuote
"See price before order confirmation.","Katso hinta ennen tilauksen vahvistusta."
"What's this?","Mikä tämä on?"
"Incl. Tax",Verollinen
"Excl. Tax",Veroton
"Edit item parameters","Muokkaa tuotteen parametreja"
Edit,Muokkaa
"Remove item","Poista kohde"
"Products Requiring Attention","Tuotteet, jotka vaativat huomiota"
"Add to Cart","Lisää ostoskoriin"
Sku,Tuotenro
File,Tiedosto
"File extensions allowed: .csv","Sallitut tiedostopäätteet: .csv"
"Add Row","Lisää rivi"
"Remove Row","Poista rivi"
"Add Products By SKU","Lisää tuotteita tuotenumeron mukaan"
"Shopping Cart Management","Ostoskorin hallinta"
"View Shopping Cart","Tarkastele ostoskoria"
"View and modify Shopping Cart","Tarkastele ja muokkaa ostoskoria"
"Order by SKU Settings","Järjestä SKU-asetusten mukaan"
"Enable Order by SKU on My Account in Storefront","Salli lajittelu SKU:n perusteella My Account -käyttäjätiliä käyttäen verkkokaupan Julkisivun puolella"
"Customer Groups",Asiakasryhmät
"Apply Coupon","Käytä alennuskoodi"
"Order by SKU Description","Järjestä SKU kuvauksen perusteella"
"Display a Link to Loading a Spreadsheet","Näytä linkki laskentataulukon lataamiseksi"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Määrittää, näkyykö widgetissä linkki omaan tiliin &gt; Järjestä sivu SKU:n perusteella"
"Link Text",Linkkiteksti
